COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
ROBERTS ELEMENTARY SCHOOL,Leon,0,0,0,0,0,,0,0,,0,25,17,3,1,4,14,7,4
RUEDIGER ELEMENTARY SCHOOL,Leon,0,0,0,0,0,,0,0,,0,17,12,1,0,4,10,4,3
SABAL PALM ELEMENTARY SCHOOL,Leon,2,2,0,0,0,,1,1,,0,24,21,0,1,2,13,10,1
SAIL,Leon,0,0,0,0,0,,0,0,,0,9,6,0,2,1,7,2,0
SEALEY ELEMENTARY SCHOOL,Leon,1,1,0,0,0,,1,0,,0,15,11,1,2,1,12,3,0
SECOND CHANCE AT GHAZVINI LEARNING CENTER,Leon,0,0,0,0,0,,0,0,,0,3,1,1,1,0,3,0,0
SPRINGWOOD ELEMENTARY SCHOOL,Leon,1,1,0,0,0,,1,0,,0,15,9,5,0,1,12,3,0
SUCCESS ACADEMY AT GHAZVINI LEARNING CENTER,Leon,0,0,0,0,0,,0,0,,0,5,5,0,0,0,2,2,1
SWIFT CREEK MIDDLE SCHOOL,Leon,1,1,0,0,0,,1,0,,0,24,20,0,1,3,18,2,4
TALLAHASSEE CLASSICAL SCHOOL,Leon,0,0,0,0,0,,0,0,,0,5,2,0,0,3,4,1,0
TALLAHASSEE SCHOOL OF MATH & SCIENCES,Leon,1,1,0,0,0,,1,0,,0,17,12,1,1,3,12,2,3
THE LEARNING PAVILION,Leon,0,0,0,0,0,,0,0,,0,1,0,0,0,1,0,1,0
THE SCHOOL OF ARTS & SCIENCES CENTRE,Leon,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
THE SCHOOL OF ARTS AND SCIENCES ON THOMASVILLE,Leon,0,0,0,0,0,,0,0,,0,4,4,0,0,0,3,0,1
TRINITY CATHOLIC SCHOOL,Leon,0,0,0,0,0,,0,0,,0,11,8,0,3,0,7,3,1
UNITY CHILD CARE DEVELOPMENT LLC,Leon,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
W T MOORE ELEMENTARY SCHOOL,Leon,0,0,0,0,0,,0,0,,0,15,12,1,1,1,9,3,3
W. T. MOORE ELEMENTARY SCHOOL,Leon,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
WILLIAM J MONTFORD III MIDDLE SCHOOL,Leon,1,1,0,0,0,,1,0,,0,18,14,0,0,4,14,3,1
WOODVILLE SCHOOL,Leon,2,2,0,0,0,,1,1,,0,12,10,0,0,2,4,4,4
BRONSON ELEMENTARY SCHOOL,Levy,0,0,0,0,0,,0,0,,0,20,15,1,2,2,12,7,1
BRONSON MIDDLE/HIGH SCHOOL,Levy,2,2,0,0,0,,2,0,,0,58,48,6,3,1,43,12,3
CEDAR KEY HIGH SCHOOL,Levy,0,0,0,0,0,,0,0,,0,32,24,1,4,3,28,4,0
CHIEFLAND ELEMENTARY SCHOOL,Levy,0,0,0,0,0,,0,0,,0,49,34,9,3,3,43,4,2
CHIEFLAND MIDDLE HIGH SCHOOL,Levy,0,0,0,0,0,,0,0,,0,54,48,3,1,2,43,9,2
CREEKSIDE CHRISTIAN SCHOOL,Levy,0,0,0,0,0,,0,0,,0,8,7,0,0,1,5,2,1
JOYCE M. BULLOCK ELEMENTARY SCHOOL,Levy,2,0,0,2,0,,2,0,,0,43,31,6,3,3,27,16,0
LEVY DISTRICT OFFICE,Levy,0,0,0,0,0,,0,0,,0,3,0,0,3,0,2,0,1
NATURE COAST MIDDLE SCHOOL,Levy,0,0,0,0,0,,0,0,,0,3,2,1,0,0,3,0,0
VISION CHRISTIAN ACADEMY,Levy,2,0,1,1,0,,2,0,,0,5,2,1,1,1,2,3,0
WHISPERING WINDS CHARTER SCHOOL,Levy,0,0,0,0,0,,0,0,,0,6,3,2,0,1,6,0,0
WILLISTON CENTRAL CHRISTIAN ACADEMY,Levy,1,1,0,0,0,,0,1,,0,5,5,0,0,0,4,1,0
WILLISTON CHRISTIAN ACADEMY,Levy,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
WILLISTON ELEMENTARY SCHOOL,Levy,3,2,1,0,0,,3,0,,0,52,40,4,1,7,31,21,0
WILLISTON MIDDLE HIGH SCHOOL,Levy,0,0,0,0,0,,0,0,,0,112,99,1,4,8,80,23,9
YANKEETOWN SCHOOL,Levy,0,0,0,0,0,,0,0,,0,5,3,0,0,2,4,1,0
HOSFORD ELEMENTARY JUNIOR HIGH SCHOOL,Liberty,0,0,0,0,0,,0,0,,0,41,28,3,3,7,29,10,2
LIBERTY COUNTY ADULT SCHOOL,Liberty,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
LIBERTY COUNTY HIGH SCHOOL,Liberty,0,0,0,0,0,,0,0,,0,38,29,3,2,4,28,7,3
LIBERTY DISTRICT OFFICE,Liberty,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
W. R. TOLAR K-8 SCHOOL,Liberty,0,0,0,0,0,,0,0,,0,30,23,2,2,3,28,2,0
EXCELLENCE LEARNING ACADEMY PREP SCHOOL,Madison,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
GREENVILLE ELEMENTARY SCHOOL,Madison,0,0,0,0,0,,0,0,,0,5,4,0,0,1,4,1,0
JAMES MADISON PREPARATORY HIGH SCHOOL,Madison,0,0,0,0,0,,0,0,,0,18,15,0,0,3,16,1,1
LEE ELEMENTARY SCHOOL,Madison,0,0,0,0,0,,0,0,,0,6,5,0,1,0,4,2,0
MADISON COUNTY CENTRAL SCHOOL,Madison,0,0,0,0,0,,0,0,,0,57,41,5,3,8,43,10,4
MADISON COUNTY HIGH SCHOOL,Madison,0,0,0,0,0,,0,0,,0,47,42,1,2,2,32,8,7
MADISON CREATIVE ARTS ACADEMY INC,Madison,0,0,0,0,0,,0,0,,0,12,11,0,1,0,12,0,0
MCCS,Madison,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
NEW TESTAMENT CHRISTIAN SCHOOL,Madison,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
PINETTA ELEMENTARY SCHOOL,Madison,0,0,0,0,0,,0,0,,0,8,4,0,1,3,7,1,0
AMIKIDS MANATEE,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
ANNA MARIA ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,6,5,0,0,1,3,3,0
ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,10,8,1,0,1,4,6,0
AVE MARIA UNIVERSITY PREPARATORY SCHOOL INC,Manatee,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
B.D. GULLETT ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,13,10,2,0,1,8,5,0
BALLARD ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,12,6,2,0,4,10,2,0
BARBARA A HARVEY ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,7,5,1,0,1,6,1,0
BAYSHORE ELEMENTARY SCHOOL,Manatee,1,1,0,0,0,,0,1,,0,16,13,1,0,2,11,5,0
BAYSHORE HIGH SCHOOL,Manatee,1,1,0,0,0,,1,0,,0,25,23,0,0,2,22,3,0
BLACKBURN ELEMENTARY SCHOOL,Manatee,1,0,0,0,1,,1,0,,0,13,12,0,0,1,7,6,0
BLANCHE H. DAUGHTREY ELEMENTARY,Manatee,0,0,0,0,0,,0,0,,0,4,3,1,0,0,3,1,0
BRADEN RIVER ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,14,12,1,0,1,7,7,0
BRADEN RIVER HIGH SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,47,44,1,0,2,41,6,0
BRADEN RIVER MIDDLE SCHOOL,Manatee,1,1,0,0,0,,0,1,,0,29,27,0,1,1,20,9,0
BRADENTON CHRISTIAN SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,31,23,6,0,2,23,7,1
BUFFALO CREEK MIDDLE SCHOOL,Manatee,1,1,0,0,0,,0,1,,0,28,27,0,0,1,23,5,0
CARLOS E. HAILE MIDDLE SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,16,15,0,0,1,10,6,0
CENTER MONTESSORI SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0
COMMUNITY CHRISTIAN SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,16,14,1,0,1,13,3,0
DR MONA JAIN MIDDLE SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,12,11,1,0,0,11,1,0
EASTER SEALS,Manatee,0,0,0,0,0,,0,0,,0,1,0,1,0,0,1,0,0
EASTER SEALS SWFL SECONDARY ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,2,2,0,0,0,2,0,0
EDUCATIONAL HARBOR,Manatee,0,0,0,0,0,,0,0,,0,3,3,0,0,0,3,0,0
ELECTA LEE MAGNET MIDDLE SCHOOL,Manatee,1,1,0,0,0,,1,0,,0,13,11,0,0,2,10,3,0
FAMILY LIFE COMMUNITY SCHOOL INC.,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
FLORINE J ABEL ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,12,11,0,0,1,7,5,0
FREEDOM ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,6,4,0,0,2,4,2,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
G D ROGERS GARDEN- BULLOCK ELEMENTARY,Manatee,0,0,0,0,0,,0,0,,0,4,4,0,0,0,2,2,0
GENE WITT ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,8,6,0,0,2,8,0,0
GILBERT W MCNEAL ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,13,9,3,0,1,9,4,0
GULFCOAST CHRISTIAN ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
H. S. MOODY ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,5,4,0,0,1,4,1,0
HORIZONS ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,4,2,0,1,1,4,0,0
IDA M. STEWART ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,3,3,0,0,0,2,1,0
IMAGINE CHARTER AT LAKEWOOD RANCH,Manatee,0,0,0,0,0,,0,0,,0,10,10,0,0,0,6,4,0
IMAGINE CHARTER SCHOOL AT NORTH MANATEE,Manatee,0,0,0,0,0,,0,0,,0,6,6,0,0,0,4,2,0
IMG ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,47,27,2,5,13,32,10,5
INSPIRATION ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,7,4,0,1,2,6,0,1
JAMES TILLMAN ELEMENTARY MAGNET SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,4,3,0,0,1,3,1,0
JESSIE P. MILLER ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,9,9,0,0,0,3,6,0
LAKEWOOD RANCH HIGH SCHOOL,Manatee,1,1,0,0,0,,1,0,,0,78,73,3,0,2,62,10,6
LINCOLN MEMORIAL ACADEMY,Manatee,1,1,0,0,0,,1,0,,0,8,8,0,0,0,4,4,0
LOUISE R JOHNSON K-8 SCHOOL OF INTERNATIONAL STUDIES,Manatee,0,0,0,0,0,,0,0,,0,10,9,0,0,1,4,6,0
MANATEE CHARTER SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,7,6,0,0,1,3,4,0
MANATEE DISTRICT OFFICE,Manatee,0,0,0,0,0,,0,0,,0,8,0,0,2,6,6,2,0
MANATEE ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,10,8,0,0,2,5,4,1
MANATEE HIGH SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,57,51,3,0,3,46,11,0
MANATEE LEARNING ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,6,4,1,0,1,5,1,0
MANATEE SCHOOL FOR THE ARTS,Manatee,4,4,0,0,0,,4,0,,0,39,34,0,0,5,28,10,1
MANATEE SCHOOL OF ARTS/SCIENCES,Manatee,0,0,0,0,0,,0,0,,0,16,14,0,0,2,12,4,0
MANATEE TECHNICAL COLLEGE,Manatee,0,0,0,0,0,,0,0,,0,5,4,0,0,1,4,1,0
MARJORIE G. KINNAN ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,6,5,0,0,1,5,1,0
MARTHA B. KING MIDDLE SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,10,8,1,0,1,6,4,0
MYAKKA CITY ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,3,3,0,0,0,0,3,0
NEXT GENERATION ACADEMICS INC,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
OASIS MIDDLE SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
ONECO ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,7,5,0,0,2,6,1,0
PALM VIEW K-8 SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,13,10,0,1,2,12,1,0
PALMA SOLA ELEMENTARY SCHOOL,Manatee,1,1,0,0,0,,1,0,,0,8,7,0,0,1,7,1,0
PALMETTO CHARTER SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,9,9,0,0,0,5,4,0
PALMETTO ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,22,16,1,0,5,15,7,0
PALMETTO HIGH SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,50,44,0,1,5,42,8,0
PARRISH CHARTER ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,7,7,0,0,0,5,2,0
PARRISH COMMUNITY HIGH SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,24,24,0,0,0,20,4,0
PINNACLE ACADEMY INC.,Manatee,0,0,0,0,0,,0,0,,0,2,1,0,0,1,1,0,1
R. DAN NOLAN MIDDLE SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,13,11,2,0,0,7,6,0
ROBERT H. PRINE ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,8,7,0,0,1,6,2,0
ROBERT WILLIS ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,5,5,0,0,0,3,2,0
ROWLETT MIDDLE ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,47,38,5,1,3,35,12,0
SAINT JOSEPH CATHOLIC SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,4,4,0,0,0,3,1,0
SAINT STEPHEN'S EPISCOPAL SCHOOL,Manatee,2,2,0,0,0,,0,2,,0,23,21,1,0,1,17,6,0
SAMOSET ELEMENTARY SCHOOL,Manatee,1,1,0,0,0,,0,1,,0,16,10,2,0,4,11,5,0
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
SEA BREEZE ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,14,7,1,0,6,10,4,0
SOUTHEAST HIGH SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,39,33,1,0,5,32,6,1
STATE COLLEGE OF FLORIDA COLLEGIATE SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,4,3,0,0,1,4,0,0
SUNSHINE ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,3,0,1,0,2,1,2,0
TARA ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,19,17,0,0,2,12,7,0
TEAM SUCCESS A SCHOOL OF EXCELLENCE,Manatee,0,0,0,0,0,,0,0,,0,16,10,2,0,4,15,1,0
THE BROACH SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,0,1
THE BROACH SCHOOL-EAST BRADENTON CAMPUS,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
VIRGIL MILLS ELEMENTARY SCHOOL,Manatee,0,0,0,0,0,,0,0,,0,13,12,1,0,0,9,3,1
W. D. SUGG MIDDLE SCHOOL,Manatee,1,1,0,0,0,,1,0,,0,17,14,0,1,2,15,2,0
WEST COAST CHRISTIAN ACADEMY,Manatee,0,0,0,0,0,,0,0,,0,3,2,1,0,0,2,1,0
WILLIAM H. BASHAW ELEMENTARY,Manatee,0,0,0,0,0,,0,0,,0,9,8,0,0,1,6,3,0
WILLIAM MONROE ROWLETT ACADEMY FOR ARTS AND COMM,Manatee,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
WOODLAND EARLY CHILDHOOD CENTER,Manatee,0,0,0,0,0,,0,0,,0,3,2,1,0,0,3,0,0
AMBLESIDE SCHOOL OF OCALA,Marion,0,0,0,0,0,,0,0,,0,17,14,0,3,0,14,1,2
ANTHONY ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,14,8,0,3,3,8,4,2
BELLEVIEW CHRISTIAN ACADEMY,Marion,0,0,0,0,0,,0,0,,0,4,3,0,0,1,2,2,0
BELLEVIEW ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,25,20,4,1,0,18,5,2
BELLEVIEW HIGH SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
BELLEVIEW HIGH SCHOOL,Marion,0,0,0,0,0,,0,0,,0,95,82,4,1,8,61,18,16
BELLEVIEW MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
BELLEVIEW MIDDLE SCHOOL,Marion,1,0,0,1,0,,1,0,,0,47,41,0,2,4,33,8,6
BELLEVIEW-SANTOS ELEMENTARY SCHOOL,Marion,1,1,0,0,0,,1,0,,0,12,8,2,1,1,10,2,0
BLESSED TRINITY,Marion,0,0,0,0,0,,0,0,,0,24,21,1,1,1,15,8,1
COLLEGE PARK ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,45,26,7,8,4,22,16,7
CROSSROADS ACADEMY,Marion,0,0,0,0,0,,0,0,,0,2,1,1,0,0,2,0,0
DESTINY LEADERSHIP ACADEMY,Marion,0,0,0,0,0,,0,0,,0,1,0,0,1,0,1,0,0
DR N H JONES ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,35,21,3,4,7,28,4,3
DR. D. D. BROWN ACADEMY OF HOPE,Marion,0,0,0,0,0,,0,0,,0,2,1,0,0,1,2,0,0
DR. NH JONES ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
DUNNELLON CHRISTIAN ACADEMY,Marion,0,0,0,0,0,,0,0,,0,13,11,0,1,1,9,1,3
DUNNELLON ELEMENTARY,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
DUNNELLON ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,17,14,0,3,0,11,4,2
DUNNELLON HIGH SCHOOL,Marion,0,0,0,0,0,,0,0,,0,3,2,0,0,1,3,0,0
DUNNELLON HIGH SCHOOL,Marion,2,1,0,0,1,,2,0,,0,68,53,7,2,6,45,10,13
DUNNELLON MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,17,10,0,2,5,11,3,3
EAST MARION ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,15,6,3,3,3,12,2,1
EIGHTH STREET ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,18,15,2,0,1,15,3,0
EMERALD SHORES ELEMENTARY SCHOOL,Marion,1,1,0,0,0,,0,1,,0,20,14,3,1,2,12,7,1
EVERGREEN ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,10,6,0,0,4,6,4,0
FESSENDEN ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,26,21,3,1,1,14,8,4
FIRST ASSEMBLY CHRISTIAN SCHOOL DAYCARE,Marion,0,0,0,0,0,,0,0,,0,4,3,0,0,1,4,0,0
FOREST HIGH SCHOOL,Marion,3,3,0,0,0,,3,0,,0,142,124,6,4,8,112,15,15
FORT KING MIDDLE SCHOOL,Marion,1,1,0,0,0,,1,0,,0,56,46,3,4,3,37,11,8
FORT MCCOY SCHOOL,Marion,1,1,0,0,0,,0,0,,1,46,30,9,3,4,28,10,8
COVID-19: summary of cases associated with primary and secondary schools,,,,,,,,,,,,,,,,,,,
"Data from September 6, 2020 to May 22, 2021 as of May 28, 2021",,,,,,,,,,,,,,,,,,,
Data in this report are provisional and subject to change.,,,,,,,,,,,,,,,,,,,
,,,,Previous Week (May 16 - May 22),,,,,,,,,,Cumulative (Sep 6 - May 22),,,,,
,,"Total
cases",,Role,,,,Symptoms,,,,"Total
cases",,Role,,,,Symptoms,
School,County,,Students,Teachers,Staff,Unknown,,Yes,No,,Unknown,,Students,Teachers,Staff,Unknown,Yes,No,Unknown
GRACE CHRISTIAN SCHOOL OF OCALA FL INC.,Marion,0,0,0,0,0,,0,0,,0,12,10,1,0,1,6,3,3
GRACEPOINTE,Marion,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0
GRACEWAY ACADEMY,Marion,0,0,0,0,0,,0,0,,0,3,3,0,0,0,1,2,0
GREENWAY ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,19,12,3,1,3,16,2,1
HAMMETT BOWEN JR. ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,43,18,10,7,8,34,6,3
HARBOUR VIEW ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,26,16,5,4,1,16,6,4
HILLCREST,Marion,1,1,0,0,0,,1,0,,0,16,6,6,3,1,14,0,2
HORIZON ACADEMY AT MARION OAKS,Marion,0,0,0,0,0,,0,0,,0,34,29,1,1,3,17,9,8
HORIZON ACADEMY AT MARION OAKS OCALA,Marion,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
HOWARD MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
HOWARD MIDDLE SCHOOL,Marion,1,1,0,0,0,,1,0,,0,54,45,2,2,5,39,8,7
LAKE WEIR HIGH SCHOOL,Marion,0,0,0,0,0,,0,0,,0,73,62,1,5,5,51,8,14
LAKE WEIR MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,38,26,3,7,2,32,5,1
LEGACY ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
LEGACY ELEMENTARY SCHOOL,Marion,1,1,0,0,0,,0,1,,0,31,22,4,3,2,20,5,6
LIBERTY MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,58,49,4,2,3,35,9,14
MADISON STREET ACADEMY OF VISUAL AND PERFORMING AR,Marion,0,0,0,0,0,,0,0,,0,26,17,4,2,3,15,6,5
MAPLEWOOD ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,39,19,12,6,2,35,3,1
MARION CHARTER SCHOOL,Marion,0,0,0,0,0,,0,0,,0,15,11,2,1,1,9,5,1
MARION COUNTY SCHOOL BOARD DISTRICT OFFICE,Marion,0,0,0,0,0,,0,0,,0,2,0,0,0,2,1,0,1
MARION COUNTY SCHOOL WAREHOUSE,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
MARION DISTRICT OFFICE,Marion,1,0,0,1,0,,1,0,,0,43,8,1,22,12,33,2,8
MARION OAKS ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,46,27,8,5,6,35,7,4
MARION TECHNICAL COLLEGE,Marion,0,0,0,0,0,,0,0,,0,16,6,2,4,4,11,1,4
MARION TECHNICAL INSTITUTE,Marion,0,0,0,0,0,,0,0,,0,21,13,1,5,2,16,1,4
MCINTOSH AREA SCHOOL,Marion,0,0,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0
MEADOWBROOK ACADEMY INC.,Marion,0,0,0,0,0,,0,0,,0,20,19,1,0,0,14,2,4
MONTESSORI PREPARATORY SCHOOL OF OCALA INC,Marion,0,0,0,0,0,,0,0,,0,2,1,1,0,0,1,1,0
MTI,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
NEW LEAF CENTER,Marion,0,0,0,0,0,,0,0,,0,6,4,1,0,1,3,3,0
NORTH MARION HIGH SCHOOL,Marion,3,2,0,0,1,,1,1,,1,102,89,3,2,8,61,23,18
NORTH MARION MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0
NORTH MARION MIDDLE SCHOOL,Marion,5,3,0,0,2,,4,1,,0,50,39,6,2,3,34,12,4
OAKCREST ELEMENTARY SCHOOL,Marion,1,0,1,0,0,,1,0,,0,16,11,2,2,1,9,4,3
OCALA CENTER FOR SUCCESS AND INDEPENDENCE,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
OCALA CHRISTIAN ACADEMY,Marion,0,0,0,0,0,,0,0,,0,13,11,0,0,2,9,1,3
OCALA PREPARATORY ACADEMY,Marion,0,0,0,0,0,,0,0,,0,1,0,0,0,1,1,0,0
OCALA PREPARATORY ACADEMY,Marion,0,0,0,0,0,,0,0,,0,4,3,0,0,1,3,1,0
OCALA SPRINGS ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,23,11,3,6,3,16,7,0
OCALI CHARTER MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,12,10,1,1,0,8,2,2
OSCEOLA MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0
OSCEOLA MIDDLE SCHOOL,Marion,0,0,0,0,0,,0,0,,0,57,46,3,6,2,46,8,3
REDDICK-COLLIER ELEMENTARY SCHOOL,Marion,0,0,0,0,0,,0,0,,0,26,16,1,0,9,16,9,1
